🎀测试,#genre#
凤凰中文,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=37
凤凰资讯,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=36
凤凰香港,http://120.84.96.25:808/hls/81/index.m3u8
凤凰香港,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=38
TVB翡翠台,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=xgfeicui_1500
TVB翡翠台,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=67
TVB翡翠台,http://radius.8866.org:880/hls/80/index.m3u8
明珠台,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=1351_4500
明珠台,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=xgmingzhu_1500
TVB J2,http://120.84.96.25:808/hls/86/index.m3u8
TVB J2,http://120.84.96.33:808/hls/86/index.m3u8
TVB J2,http://120.84.96.32:808/hls/86/index.m3u8
TVB J2,http://120.84.96.29:808/hls/86/index.m3u8
TVB星河,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=135
TVB星河,http://tv.mushui.tk:9090/maotv/808xyz/tv.php?id=35
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd
澳门莲花,http://120.84.96.33:808/hls/24/index.m3u8
澳门莲花,http://ye23.win/iptv/lotustv2020.php
澳门莲花,http://120.84.96.25:808/hls/24/index.m3u8
天映经典,http://120.84.96.25:808/hls/85/index.m3u8
天映经典,http://tv.mushui.tk:9090/maotv/808xyz/tv.php?id=62
天映频道,http://50.7.220.74:8278/Celestial/playlist.m3u8?tid=MBBB6774222467742224&ct=19049&tsum=d0046a3b7f129d15414756b9fa75c512
东森电影,http://120.84.96.27:808/hls/32/index.m3u8
东森电影,http://120.84.96.29:808/hls/32/index.m3u8
东森电影,http://120.84.96.32:808/hls/32/index.m3u8
东森电影,http://tv.mushui.tk:9090/maotv/808xyz/tv.php?id=58
东森电影,http://120.84.96.25:808/hls/32/index.m3u8
东森电影,http://120.84.96.33:808/hls/32/index.m3u8
东森洋片,http://tv.mushui.tk:9090/maotv/808xyz/tv.php?id=59
东森洋片,http://120.84.96.25:808/hls/33/index.m3u8
东森洋片,http://120.84.96.33:808/hls/33/index.m3u8
龙祥时代,http://120.84.96.25:808/hls/35/index.m3u8
龙祥时代,http://tv.mushui.tk:9090/maotv/808xyz/tv.php?id=38
CCTV-1,http://120.84.96.25:808/hls/101/index.m3u8
CCTV-1,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=138
CCTV-2,http://120.84.96.25:808/hls/102/index.m3u8
CCTV-2,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=2
CCTV-3,http://120.84.96.25:808/hls/103/index.m3u8
CCTV-3,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=3
CCTV-4,http://120.84.96.25:808/hls/104/index.m3u8
CCTV-4,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=4
CCTV-5,http://120.84.96.25:808/hls/105/index.m3u8
CCTV-5+,http://120.84.96.25:808/hls/116/index.m3u8
CCTV-5+,http://120.84.96.25:808/hls/30/index.m3u8
CCTV-5,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=5
CCTV-5,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=16
CCTV-6,http://120.84.96.25:808/hls/106/index.m3u8
CCTV-6,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=6
CCTV-7,http://120.84.96.25:808/hls/107/index.m3u8
CCTV-7,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=7
CCTV-8,http://120.84.96.25:808/hls/108/index.m3u8
CCTV-8,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=8
CCTV-9,http://120.84.96.25:808/hls/109/index.m3u8
CCTV-9,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=9
CCTV-10,http://120.84.96.25:808/hls/110/index.m3u8
CCTV-11,http://120.84.96.25:808/hls/112/index.m3u8
CCTV-12,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=12
CCTV-14,http://120.84.96.25:808/hls/114/index.m3u8
CCTV-15,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=15
广东卫视,http://120.84.96.25:808/hls/121/index.m3u8
广东经济,http://120.84.96.25:808/hls/118/index.m3u8
广东经济,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=GDjingjikejiaoHD_7000
广东经济,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=66
广东经济,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=66
广东体育,http://120.84.96.25:808/hls/22/index.m3u8
广东体育,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=gdsportsHD_7000
广东体育,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=1
广东体育,http://tv.mushui.tk:9090/maotv/808xyz/tv.php?id=18
广东珠江,http://120.84.96.25:808/hls/122/index.m3u8
广东珠江,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=gdzhujiangHD_7500
广东珠江,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=41
湖南卫视,http://120.84.96.25:808/hls/126/index.m3u8
浙江卫视,http://120.84.96.25:808/hls/129/index.m3u8
江苏卫视,http://120.84.96.25:808/hls/130/index.m3u8
东方卫视,http://116.237.255.173:9901/tsfile/live/0107_1.m3u8
东方卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=47
东方影视,http://116.237.255.173:9901/tsfile/live/1013_1.m3u8
东方影视,http://117.148.179.166:80/PLTV/88888888/224/3221231639/index.m3u8
北京卫视,http://120.84.96.25:808/hls/153/index.m3u8
北京卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=45
深圳卫视,http://120.84.96.25:808/hls/125/index.m3u8
四川卫视,http://120.84.96.25:808/hls/165/index.m3u8
四川卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=52
天津卫视,http://120.84.96.25:808/hls/149/index.m3u8
天津卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=48
广西卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=60
贵州卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=53
河北卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=57
黑龙江卫视,http://120.84.96.25:808/hls/139/index.m3u8
黑龙江卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=50
湖北卫视,http://120.84.96.25:808/hls/128/index.m3u8
湖北卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=51
东南卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=55
安徽卫视,http://120.84.96.25:808/hls/131/index.m3u8
安徽卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=49
吉林卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=59
江西卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=58
辽宁卫视,http://120.84.96.25:808/hls/133/index.m3u8
辽宁卫视,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=54
山东卫视,http://120.84.96.25:808/hls/132/index.m3u8
魅力音乐,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=meiliyinyueHD_7000
魅力足球,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=65
纪实人文,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=56
劲爆体育HD,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=jinbaotiyuHD_7000
新视觉HD,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=xinshijueHD_7000
求索动物HD,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=QSDWHD_7000
求索纪录HD,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=QSJLHD_7000
求索科学HD,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=qiusuokexueHD_7000
求索生活HD,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=QSSHHD_7000
全纪实HD,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=quanjishiHD_7000
欢笑剧场HD,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=huanxiaojuchangHD_7000
深圳电视剧频道,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=69
深圳都市频道,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=68
深圳体育健康,http://tv.mushui.tk:9090/maotv/808jxx/tv.php?id=70
中国电影,http://tv.mushui.tk:9090/maotv/808xyz/tv.php?id=61

🈲港台,#genre#
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
凤凰资讯,http://39.135.49.209:6610/PLTV/88888888/224/3221227226/1.m3u8?servicetype=1
凤凰资讯,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/index.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰中文,http://39.135.49.209:6610/PLTV/88888888/224/3221227222/1.m3u8?servicetype=1
凤凰中文,http://117.169.120.138:8080/live/fhchinese/index.m3u8
凤凰中文,http://117.169.120.138:8080/live/fhchinese/.m3u8
寰宇新闻,https://wabc.ml/hlk.php?id=136
